date,site_id,region,utility_provider,rate_class,total_kwh,peak_kw,demand_charge,energy_charge,total_cost
2024-02-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142959.47,6843.14,94093.99,9780.51,103874.5
2024-02-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147455.46,7254.61,101791.74,9325.76,111117.5
2024-02-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,143153.77,7391.87,97459.55,13687.44,111146.98
2024-02-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154460.62,7422.84,113482.55,16810.07,130292.61
2024-02-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,140517.49,6844.46,119405.94,12887.92,132293.87
2024-02-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148118.12,7341.45,122907.49,12981.76,135889.26
2024-02-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141719.95,6932.06,127724.01,10219.14,137943.15
2024-02-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147736.08,7981.96,147917.38,11810.2,159727.58
2024-02-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152858.17,7197.99,126443.44,13055.61,139499.05
2024-02-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154009.09,7477.09,132263.69,10936.5,143200.19
2024-02-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153538.89,7483.31,146105.61,9950.68,156056.29
2024-02-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147647.39,7404.21,128874.14,15043.13,143917.27
2024-02-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152933.06,7275.88,127810.14,13316.25,141126.39
2024-02-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145596.37,6885.44,111083.41,15885.79,126969.2
2024-02-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146311.31,7920.63,130423.82,15841.27,146265.08
2024-02-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155875.6,7389.42,130074.98,11526.0,141600.98
2024-02-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155575.24,8240.72,157415.6,12481.09,169896.69
2024-02-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155876.16,8359.68,145056.45,15473.36,160529.81
2024-02-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152034.05,7439.89,147230.32,16268.66,163498.98
2024-02-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147776.1,7149.12,111436.1,12454.67,123890.77
2024-02-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158738.34,7508.22,119764.82,9667.76,129432.58
2024-02-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146610.45,7167.38,127346.56,14251.79,141598.35
2024-02-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148777.04,7491.59,128036.29,12711.62,140747.9
2024-02-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148107.86,7516.31,119463.83,16135.56,135599.39
2024-02-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158281.7,7827.55,134327.24,12267.45,146594.69
2024-02-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154880.67,8214.05,131371.86,11075.4,142447.27
2024-02-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153605.6,8024.04,160131.02,9551.23,169682.25
2024-03-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152244.74,7332.56,131852.33,15860.05,147712.38
2024-03-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,159823.71,7765.77,128743.54,14006.67,142750.21
2024-03-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160438.77,7454.18,100834.85,12078.61,112913.46
2024-03-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149722.58,7467.76,113192.85,11773.34,124966.19
2024-03-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158735.24,8505.59,116282.84,10082.99,126365.83
2024-03-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,156260.83,7628.97,109569.81,11361.44,120931.26
2024-03-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151076.9,7992.81,141243.27,10096.63,151339.9
2024-03-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154790.41,7477.04,105049.77,12536.33,117586.09
2024-03-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155863.2,7249.71,123412.93,9392.2,132805.13
2024-03-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149590.08,6944.65,86156.31,11943.15,98099.46
2024-03-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160439.2,7390.39,114608.59,14269.98,128878.57
2024-03-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157282.87,7638.9,151668.37,10656.24,162324.61
2024-03-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160020.61,8481.63,104414.64,11603.51,116018.15
2024-03-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151874.83,7640.67,142291.91,11593.0,153884.9
2024-03-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151524.07,8163.68,152956.17,12555.78,165511.94
2024-03-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150463.27,7412.01,97147.96,14290.34,111438.31
2024-03-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149637.69,8067.39,99459.12,14324.78,113783.9
2024-03-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153901.66,7609.82,106589.9,14959.57,121549.47
2024-03-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150690.87,7008.22,122699.94,12268.61,134968.54
2024-03-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148846.54,7957.35,110752.82,12222.92,122975.74
2024-03-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149517.14,7080.72,121123.89,15958.07,137081.96
2024-03-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,156222.63,8015.67,143002.03,12776.46,155778.49
2024-03-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149014.89,7532.75,97634.35,10122.93,107757.27
2024-03-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153711.81,7162.71,103797.07,9946.36,113743.43
2024-03-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,163778.72,7745.82,140252.9,9967.25,150220.15
2024-03-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,161183.51,7852.73,135052.78,13415.9,148468.68
2024-03-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149406.97,8029.56,113113.63,15588.23,128701.86
2024-03-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148980.86,7987.16,130310.62,12671.12,142981.74
2024-03-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,159538.25,8130.94,158992.41,17101.64,176094.04
2024-03-30,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,162494.19,8309.42,144727.98,16257.13,160985.11
2024-03-31,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157967.48,7409.33,137555.13,15885.24,153440.37
2024-04-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158866.81,8367.55,114246.14,14706.97,128953.11
2024-04-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153412.76,7305.76,89946.33,12098.58,102044.91
2024-04-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158883.09,7727.75,116558.96,14742.15,131301.11
2024-04-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,159940.39,7784.6,124306.8,11681.2,135988.0
2024-04-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160175.67,7806.34,96123.34,17111.95,113235.29
2024-04-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155907.44,8402.87,129301.35,13626.09,142927.44
2024-04-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158323.31,8016.34,104384.88,15291.24,119676.13
2024-04-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153358.19,7770.84,128179.54,15850.46,144030.01
2024-04-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153217.61,7890.51,109724.54,14861.41,124585.95
2024-04-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155441.99,7816.57,118162.59,13185.84,131348.44
2024-04-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154212.58,7196.57,141544.48,9665.16,151209.64
2024-04-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,162890.08,7947.55,138399.9,17566.07,155965.97
2024-04-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157173.18,7849.52,99952.96,10084.89,110037.85
2024-04-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,159080.5,8025.22,157049.95,11236.87,168286.82
2024-04-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,161912.12,7574.07,149920.96,17251.16,167172.12
2024-04-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,165303.41,7653.37,125265.21,16009.93,141275.14
2024-04-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160741.16,8664.82,161995.0,15174.21,177169.21
2024-04-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,163279.89,8624.55,118851.63,13275.4,132127.03
2024-04-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155872.11,8302.65,133727.6,10494.91,144222.51
2024-04-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153292.42,7768.48,147934.3,15813.18,163747.48
2024-04-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153337.11,8187.81,121193.89,13738.15,134932.04
2024-04-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160748.02,8012.84,141351.95,12682.92,154034.87
2024-04-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153495.25,7457.63,104626.56,12544.03,117170.59
2024-04-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155937.03,7889.73,143100.43,15133.49,158233.91
2024-04-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,162484.04,8454.87,117523.17,15281.94,132805.12
2024-04-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155802.79,7761.21,125940.78,9993.9,135934.68
2024-04-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,156337.16,8210.45,135045.8,17024.34,152070.14
2024-04-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154511.59,7137.66,138134.68,16414.1,154548.78
2024-04-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153374.28,7918.47,105551.05,9780.94,115332.0
2024-04-30,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152760.71,7376.42,129643.62,16771.84,146415.46
2024-05-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155343.17,8074.09,158814.3,16429.52,175243.82
2024-05-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150163.14,7376.17,108321.07,9811.33,118132.4
2024-05-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151864.42,7779.06,107624.57,12060.07,119684.64
2024-05-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153316.5,7487.4,116997.51,11191.72,128189.23
2024-05-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149587.05,7204.81,121201.24,12050.78,133252.02
2024-05-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153265.04,7194.75,140472.18,9779.84,150252.03
2024-05-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155478.62,7879.09,99764.93,16474.33,116239.26
2024-05-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,162612.5,8200.53,125386.47,11096.96,136483.42
2024-05-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160978.62,8022.6,120450.57,17589.22,138039.79
2024-05-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160454.77,7879.65,130429.14,16279.45,146708.59
2024-05-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149631.99,6904.05,83603.7,9979.35,93583.05
2024-05-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149731.4,7725.78,139058.59,12984.3,152042.89
2024-05-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,162735.29,8252.24,149007.77,15672.39,164680.17
2024-05-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154274.13,7380.84,103416.94,10838.11,114255.04
2024-05-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152566.02,7256.07,131015.64,15853.29,146868.93
2024-05-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148911.5,7158.51,114431.14,9099.87,123531.01
2024-05-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155501.84,8204.5,152038.28,11723.11,163761.39
2024-05-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,163052.49,7593.37,126958.4,16238.54,143196.94
2024-05-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155340.02,7664.13,131170.82,15414.92,146585.74
2024-05-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160279.47,8552.45,169712.21,14563.5,184275.71
2024-05-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157096.16,8033.69,102252.99,13783.74,116036.73
2024-05-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158810.51,8003.32,154334.13,13109.1,167443.22
2024-05-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152035.1,7631.66,140207.1,14425.41,154632.51
2024-05-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154412.5,8160.82,102254.14,15201.28,117455.41
2024-05-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147877.45,7542.74,103132.27,11441.38,114573.65
2024-05-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,156012.55,7594.64,119091.24,13551.74,132642.99
2024-05-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,155955.0,7668.18,103064.44,14797.54,117861.98
2024-05-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157542.0,7761.12,125123.99,16339.61,141463.59
2024-05-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,161668.34,8220.75,152694.85,11509.57,164204.42
2024-05-30,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151832.73,7398.83,121264.82,9351.41,130616.24
2024-05-31,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154606.56,7544.79,98308.5,16188.99,114497.49
2024-06-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151312.83,7340.67,116343.44,9777.01,126120.45
2024-06-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,156665.36,7848.49,117870.83,10629.57,128500.4
2024-06-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145983.59,7747.23,129984.74,9375.92,139360.66
2024-06-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,160932.69,8095.71,112440.72,17091.39,129532.1
2024-06-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157298.55,7905.91,98813.86,15104.72,113918.58
2024-06-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147759.01,6936.2,130092.04,13942.29,144034.33
2024-06-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,156811.91,7227.03,107199.83,16208.2,123408.03
2024-06-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151258.32,7064.86,95080.79,14652.43,109733.22
2024-06-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153641.62,8118.31,132187.85,9903.77,142091.62
2024-06-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148430.03,7227.21,107257.9,12423.37,119681.27
2024-06-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154597.06,7703.55,137851.76,13791.6,151643.36
2024-06-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153038.59,7762.29,116668.63,13501.51,130170.14
2024-06-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149517.72,7973.84,111273.53,13513.08,124786.61
2024-06-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151788.57,7374.84,88942.54,16193.5,105136.04
2024-06-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147475.48,7208.3,135563.24,12445.53,148008.76
2024-06-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145222.51,7631.28,142998.82,9117.46,152116.28
2024-06-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144504.06,6645.07,132755.51,13705.93,146461.44
2024-06-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,157101.82,7954.59,95792.32,16632.34,112424.65
2024-06-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,158099.12,7892.77,146544.16,15200.41,161744.57
2024-06-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,154041.38,7747.04,144936.83,12913.44,157850.27
2024-06-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146125.81,7876.17,107084.9,13961.97,121046.87
2024-06-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153936.34,7735.1,140331.94,14679.6,155011.54
2024-06-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144001.03,7207.38,104976.43,15350.61,120327.04
2024-06-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151423.88,7406.18,121378.59,12524.78,133903.38
2024-06-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150563.32,7153.93,90875.96,14187.37,105063.33
2024-06-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144239.71,6614.25,104408.04,9495.99,113904.03
2024-06-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151043.89,7922.62,148991.29,9868.45,158859.74
2024-06-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152942.91,7530.55,150064.55,16310.89,166375.43
2024-06-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144685.95,7088.68,125985.52,15383.37,141368.89
2024-06-30,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142167.54,7441.9,133984.0,14415.37,148399.36
2024-07-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,153162.66,8073.12,112099.56,10617.27,122716.83
2024-07-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150506.75,8036.89,134267.97,11409.89,145677.86
2024-07-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,151046.12,7491.82,143823.06,14453.47,158276.54
2024-07-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149982.1,7548.83,125460.64,12289.12,137749.76
2024-07-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145815.35,7158.9,89722.21,12626.57,102348.78
2024-07-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,143763.07,7239.49,106149.18,11727.67,117876.86
2024-07-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150981.63,7792.81,148289.7,10317.56,158607.26
2024-07-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147324.04,7662.64,153111.43,13061.39,166172.81
2024-07-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150919.59,7806.29,102613.88,14930.26,117544.15
2024-07-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142673.44,7388.18,133261.26,12084.31,145345.57
2024-07-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141000.26,7092.88,111046.12,11130.71,122176.83
2024-07-12,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148169.25,7411.29,117771.74,12889.69,130661.43
2024-07-13,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145126.05,7585.11,127335.39,8796.11,136131.5
2024-07-14,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147233.16,7626.9,141970.05,13243.84,155213.89
2024-07-15,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,152797.85,7439.38,114482.89,10904.81,125387.7
2024-07-16,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142814.0,7277.5,95429.4,15080.1,110509.51
2024-07-17,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139908.87,6710.98,112366.66,13473.89,125840.55
2024-07-18,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139755.8,7475.48,91082.6,13906.29,104988.9
2024-07-19,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147565.94,7711.85,96794.35,11616.65,108411.0
2024-07-20,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139050.18,6493.93,125238.61,14186.17,139424.78
2024-07-21,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139539.9,6669.9,89980.71,9527.23,99507.94
2024-07-22,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149721.4,7276.64,100557.12,11314.78,111871.9
2024-07-23,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146219.48,7163.91,97748.94,14214.36,111963.3
2024-07-24,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148643.6,7560.66,115799.33,9767.87,125567.21
2024-07-25,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,149559.81,8005.14,126855.01,12456.09,139311.1
2024-07-26,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,150175.41,7617.73,147037.45,9257.16,156294.61
2024-07-27,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,140350.32,7108.31,87226.35,9582.51,96808.86
2024-07-28,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141097.41,7384.68,101618.95,10424.19,112043.13
2024-07-29,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,139516.59,6993.47,109601.06,15176.21,124777.27
2024-07-30,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,144303.04,7648.82,103073.25,12518.79,115592.04
2024-07-31,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,140447.67,6799.93,104816.3,11216.98,116033.28
2024-08-01,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147452.64,7187.56,122187.19,12299.26,134486.45
2024-08-02,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,141255.54,7458.96,107053.63,12624.39,119678.01
2024-08-03,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,145907.3,7328.98,116154.85,12653.49,128808.34
2024-08-04,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142654.43,7448.17,109301.22,9293.8,118595.03
2024-08-05,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,136495.91,7112.85,136420.59,10048.16,146468.75
2024-08-06,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142777.75,7496.72,140326.01,15555.15,155881.16
2024-08-07,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,147474.65,7260.65,101874.96,12916.73,114791.69
2024-08-08,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,137792.69,6895.96,101468.31,12367.23,113835.54
2024-08-09,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,142956.98,7609.43,135193.05,12556.78,147749.83
2024-08-10,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,146163.94,7903.48,145857.24,13178.12,159035.36
2024-08-11,DC_NJ_01,Northeast,PSE&G,Large Commercial TOU,148254.4,7961.77,121426.02,9941.06,131367.08
